crf,preset,res,bitrate,vmaf,time
47,5,480,86,88.666957,51.699
47,5,720,131,88.813404,78.219
47,6,480,84,88.042942,44.305
47,6,720,130,88.163958,64.623
47,7,480,86,87.562873,38.712
47,7,720,132,87.008404,53.791
47,8,480,94,87.496800,35.975
47,8,720,143,86.635008,46.611
47,9,480,90,85.320195,31.600
47,9,720,124,82.401878,39.033
47,10,480,92,84.975507,30.238
47,10,720,121,81.152927,36.829
48,4,480,82,88.605790,72.564
48,4,720,124,88.725123,108.616
48,5,480,82,88.143074,52.790
48,5,720,124,88.256279,81.500
48,6,480,80,87.440144,44.961
48,6,720,123,87.589869,65.409
48,7,480,81,86.851410,39.847
48,7,720,125,86.368720,55.679
48,8,480,89,86.759203,35.818
48,8,720,135,85.967648,46.821
48,9,480,85,84.555581,32.221
48,9,720,116,81.538845,39.846
48,10,480,87,84.185907,30.881
48,10,720,114,80.234508,37.465
49,4,480,78,88.045200,75.530
49,4,720,118,88.181158,112.438
49,5,480,78,87.580123,54.751
49,5,720,118,87.781192,84.290
49,6,480,76,86.882752,45.760
49,6,720,117,87.112673,68.141
49,7,480,77,86.328408,39.589
49,7,720,119,85.803570,55.264
49,8,480,84,86.177621,36.015
49,8,720,128,85.322212,48.900
49,9,480,80,83.796323,30.007
49,9,720,109,80.690062,35.990
49,10,480,82,83.402089,28.476
49,10,720,107,79.367455,35.138
