crf,preset,res,bitrate,vmaf,time
34,5,480,1373,96.620358,100.687
34,5,720,2402,96.788729,155.855
34,6,480,1417,96.455270,79.558
34,6,720,2528,96.519441,115.645
34,7,480,1447,96.395567,67.543
34,7,720,2605,96.381638,94.619
34,8,480,1511,96.296330,52.620
34,8,720,2666,96.241157,74.572
34,9,480,1694,95.835451,43.552
34,9,720,2635,95.329602,60.515
34,10,480,1751,95.555846,38.565
34,10,720,2718,94.990449,54.538
37,4,480,1097,95.913607,150.881
37,4,720,1890,96.127987,248.705
37,5,480,1142,95.763283,100.362
37,5,720,1989,95.969670,157.373
37,6,480,1169,95.521939,78.719
37,6,720,2074,95.613996,115.370
37,7,480,1193,95.429800,66.467
37,7,720,2132,95.441250,94.582
37,8,480,1243,95.305083,52.948
37,8,720,2189,95.270927,74.951
37,9,480,1371,94.596661,42.445
37,9,720,2151,94.060751,59.838
37,10,480,1417,94.313863,38.118
37,10,720,2221,93.675694,54.134
39,4,480,969,95.228354,150.134
39,4,720,1665,95.504306,250.895
39,5,480,1007,95.034922,99.003
39,5,720,1749,95.299153,158.719
39,6,480,1025,94.757762,79.065
39,6,720,1810,94.871298,114.903
39,7,480,1046,94.650943,67.187
39,7,720,1861,94.661059,95.402
39,8,480,1090,94.486857,52.146
39,8,720,1916,94.467343,74.084
39,9,480,1195,93.625723,42.709
39,9,720,1873,92.973204,59.896
39,10,480,1238,93.313473,38.299
39,10,720,1936,92.568830,54.329
41,4,480,853,94.445382,163.356
41,4,720,1458,94.783268,277.316
41,5,480,888,94.224063,99.560
41,5,720,1531,94.531285,167.892
41,6,480,899,93.899141,78.090
41,6,720,1571,94.064266,118.094
41,7,480,920,93.743262,63.586
41,7,720,1629,93.757303,91.637
41,8,480,948,93.629947,51.510
41,8,720,1675,93.592383,71.358
41,9,480,1042,92.506172,39.227
41,9,720,1624,91.674132,55.537
41,10,480,1080,92.182081,35.618
41,10,720,1679,91.248386,50.895
43,4,480,754,93.543871,161.265
43,4,720,1285,93.909128,275.235
43,5,480,784,93.252853,97.654
43,5,720,1345,93.598068,165.852
43,6,480,788,92.831029,77.269
43,6,720,1369,93.013538,118.873
43,7,480,806,92.648727,63.048
43,7,720,1416,92.649909,91.668
43,8,480,830,92.517379,50.608
43,8,720,1461,92.465755,71.391
43,9,480,913,91.305226,40.564
43,9,720,1404,90.198076,56.944
43,10,480,946,90.957878,36.523
43,10,720,1451,89.725424,51.407
44,4,480,707,93.037914,168.644
44,4,720,1206,93.433326,282.806
44,5,480,734,92.723805,104.192
44,5,720,1261,93.103144,171.341
44,6,480,735,92.329733,80.925
44,6,720,1270,92.546413,126.066
44,7,480,754,92.088241,63.763
44,7,720,1319,92.100557,93.040
44,8,480,777,91.944334,51.020
44,8,720,1364,91.879355,71.219
44,9,480,850,90.656229,39.808
44,9,720,1307,89.522714,56.411
44,10,480,882,90.276068,35.827
44,10,720,1351,88.981533,49.755
45,4,480,664,92.472581,170.893
45,4,720,1131,92.912510,286.670
45,5,480,687,92.138382,104.078
45,5,720,1179,92.548457,172.047
45,6,480,686,91.684959,82.605
45,6,720,1184,91.936860,126.818
45,7,480,703,91.436663,63.151
45,7,720,1227,91.439989,93.375
45,8,480,725,91.262815,53.479
45,8,720,1271,91.195747,80.175
45,9,480,790,89.892381,43.107
45,9,720,1214,88.710494,60.871
45,10,480,819,89.493139,43.593
45,10,720,1253,88.122056,51.154
46,4,480,623,91.897993,179.866
46,4,720,1062,92.381282,302.134
46,5,480,643,91.556184,113.707
46,5,720,1101,92.022148,184.874
46,6,480,643,91.046313,81.243
46,6,720,1108,91.318555,132.401
46,7,480,658,90.772273,66.908
46,7,720,1145,90.787982,98.725
46,8,480,679,90.599782,50.061
46,8,720,1187,90.530194,76.985
46,9,480,736,89.125778,42.426
46,9,720,1129,87.875691,60.447
46,10,480,762,88.711547,40.546
46,10,720,1164,87.270268,46.184
47,4,480,587,91.307356,198.703
47,4,720,1000,91.820620,319.376
47,5,480,604,90.932036,113.662
47,5,720,1034,91.424062,188.612
47,6,480,601,90.347349,82.867
47,6,720,1036,90.640268,136.695
47,7,480,615,90.032600,65.633
47,7,720,1068,90.051940,94.465
47,8,480,635,89.822307,51.625
47,8,720,1108,89.752317,80.493
47,9,480,686,88.373808,42.413
47,9,720,1048,86.893645,57.840
47,10,480,710,87.912945,36.369
47,10,720,1079,86.231054,51.640
48,4,480,550,90.618805,186.933
48,4,720,938,91.179270,333.328
48,5,480,567,90.228279,128.059
48,5,720,968,90.751598,199.043
48,6,480,562,89.590044,86.632
48,6,720,967,89.891589,138.410
48,7,480,575,89.255586,64.621
48,7,720,996,89.259408,101.462
48,8,480,593,89.002893,55.520
48,8,720,1032,88.903371,77.337
48,9,480,637,87.419407,42.077
48,9,720,972,85.760309,57.004
48,10,480,657,86.989290,37.512
48,10,720,998,85.086237,56.156
49,4,480,516,89.994701,199.387
49,4,720,879,90.581773,346.984
49,5,480,530,89.539930,140.398
49,5,720,907,90.108817,222.789
49,6,480,527,88.903342,93.396
49,6,720,905,89.262231,147.380
49,7,480,538,88.519618,74.215
49,7,720,930,88.559307,100.804
49,8,480,555,88.217641,56.108
49,8,720,964,88.147344,79.337
49,9,480,591,86.496130,44.169
49,9,720,901,84.820620,62.203
49,10,480,609,86.042436,40.430
49,10,720,925,84.103778,54.366
