crf,preset,res,bitrate,vmaf,time
29,4,720,1747,99.238501,191.314
29,5,480,1117,99.112210,93.460
29,5,720,1803,99.171887,140.331
29,6,480,1208,99.126431,77.463
29,6,720,1987,99.159607,110.170
29,7,480,1234,99.047888,68.140
29,7,720,2077,99.014929,92.707
29,8,480,1309,99.002517,59.835
29,8,720,2146,98.878861,77.014
29,9,480,1459,98.342675,50.120
29,9,720,2154,98.173049,63.136
29,10,480,1546,97.910090,48.018
29,10,720,2200,97.497300,59.171
30,4,480,1034,99.090278,124.592
30,4,720,1660,99.150520,191.681
30,5,480,1062,99.006662,95.111
30,5,720,1713,99.074822,139.035
30,6,480,1140,99.018022,77.095
30,6,720,1870,99.048200,109.073
30,7,480,1165,98.932151,68.870
30,7,720,1950,98.892513,90.455
30,8,480,1235,98.877010,58.012
30,8,720,2021,98.743018,74.833
30,9,480,1358,98.161185,48.212
30,9,720,2026,97.960847,59.670
30,10,480,1432,97.688340,44.917
30,10,720,2068,97.219458,55.549
31,4,480,968,98.948699,123.102
31,4,720,1548,99.015158,191.932
31,5,480,993,98.852385,90.179
31,5,720,1597,98.920630,138.883
31,6,480,1065,98.864996,74.484
31,6,720,1740,98.897168,106.512
31,7,480,1088,98.768123,65.334
31,7,720,1811,98.722632,88.933
31,8,480,1152,98.700344,58.557
31,8,720,1882,98.552924,73.673
31,9,480,1248,97.898756,47.983
31,9,720,1861,97.653505,60.242
31,10,480,1313,97.362870,45.548
31,10,720,1899,96.853988,55.940
33,4,480,858,98.602236,122.475
33,4,720,1367,98.696879,191.129
33,5,480,879,98.457673,92.305
33,5,720,1407,98.559389,139.366
33,6,480,937,98.455400,75.021
33,6,720,1519,98.508776,105.128
33,7,480,955,98.337637,65.890
33,7,720,1575,98.292749,88.575
33,8,480,1012,98.241261,57.387
33,8,720,1647,98.094244,73.320
33,9,480,1089,97.314183,47.984
33,9,720,1621,96.964316,59.405
33,10,480,1148,96.738370,44.557
33,10,720,1663,96.091679,54.786
34,4,480,814,98.438490,123.649
34,4,720,1294,98.536898,192.346
34,5,480,833,98.269779,90.531
34,5,720,1330,98.375497,136.957
34,6,480,885,98.268319,74.253
34,6,720,1434,98.316941,108.334
34,7,480,903,98.131767,66.083
34,7,720,1482,98.084522,88.822
34,8,480,954,98.030783,57.294
34,8,720,1551,97.870766,74.846
34,9,480,1029,97.050080,48.102
34,9,720,1510,96.545581,60.773
34,10,480,1080,96.456535,44.849
34,10,720,1542,95.647137,55.563
37,4,480,681,97.709690,122.874
37,4,720,1079,97.838975,192.521
37,5,480,695,97.469147,87.971
37,5,720,1107,97.596335,134.040
37,6,480,731,97.427939,73.779
37,6,720,1179,97.506360,104.763
37,7,480,745,97.236963,64.046
37,7,720,1212,97.203889,87.636
37,8,480,786,97.088617,55.304
37,8,720,1274,96.913665,72.115
37,9,480,833,95.789648,46.890
37,9,720,1225,95.085808,58.100
37,10,480,864,95.093622,43.625
37,10,720,1244,94.094742,53.931
39,4,480,607,97.097838,125.818
39,4,720,963,97.249912,189.459
39,5,480,618,96.790591,84.258
39,5,720,984,96.923028,127.419
39,6,480,646,96.708375,75.603
39,6,720,1039,96.802626,104.339
39,7,480,657,96.484019,61.686
39,7,720,1066,96.447955,86.715
39,8,480,694,96.316350,53.507
39,8,720,1123,96.110288,74.114
39,9,480,726,94.776205,42.685
39,9,720,1063,93.954041,56.298
39,10,480,752,93.992603,40.496
39,10,720,1080,92.828795,49.984
41,4,480,540,96.397311,145.903
41,4,720,854,96.554553,223.330
41,5,480,552,96.033681,95.651
41,5,720,875,96.172983,143.556
41,6,480,573,95.921222,80.621
41,6,720,917,96.026576,116.932
41,7,480,583,95.623605,68.006
41,7,720,941,95.589258,97.707
41,8,480,612,95.530987,60.555
41,8,720,990,95.375424,74.799
41,9,480,638,93.659854,50.045
41,9,720,925,92.638704,58.369
41,10,480,658,92.782799,43.885
41,10,720,935,91.367424,50.606
43,4,480,484,95.564559,123.391
43,4,720,764,95.727836,204.572
43,5,480,494,95.125339,91.408
43,5,720,780,95.260919,133.061
43,6,480,509,94.960152,74.504
43,6,720,811,95.055710,114.690
43,7,480,517,94.592898,59.887
43,7,720,831,94.547159,82.818
43,8,480,545,94.510570,52.468
43,8,720,877,94.319583,66.967
43,9,480,564,92.438214,42.708
43,9,720,805,91.140465,52.514
43,10,480,581,91.487249,41.129
43,10,720,812,89.777484,48.081
44,4,480,455,95.105240,135.601
44,4,720,718,95.253500,208.919
44,5,480,464,94.637364,90.220
44,5,720,733,94.772045,136.940
44,6,480,476,94.485495,75.718
44,6,720,758,94.601737,108.046
44,7,480,488,94.063243,59.176
44,7,720,779,94.008293,85.618
44,8,480,515,93.956273,52.370
44,8,720,826,93.761844,68.988
44,9,480,529,91.910050,43.543
44,9,720,753,90.454058,52.972
44,10,480,545,90.847824,39.561
44,10,720,757,88.940363,48.303
45,4,480,431,94.609573,128.748
45,4,720,680,94.734926,197.124
45,5,480,439,94.101771,86.775
45,5,720,693,94.230451,129.789
45,6,480,449,93.929124,72.628
45,6,720,714,94.021068,103.868
45,7,480,459,93.448247,58.575
45,7,720,732,93.376854,80.956
45,8,480,485,93.340279,55.030
45,8,720,776,93.107991,70.603
45,9,480,496,91.171198,49.246
45,9,720,702,89.625891,59.306
45,10,480,510,90.083179,40.718
45,10,720,704,88.032406,48.690
46,4,480,410,94.113286,130.831
46,4,720,645,94.259166,203.228
46,5,480,415,93.601463,91.578
46,5,720,653,93.704470,140.360
46,6,480,425,93.324641,71.848
46,6,720,674,93.417241,107.450
46,7,480,434,92.807111,62.190
46,7,720,690,92.713143,84.969
46,8,480,459,92.693434,54.966
46,8,720,733,92.442692,71.668
46,9,480,466,90.413415,51.554
46,9,720,658,88.773935,62.276
46,10,480,478,89.268049,45.138
46,10,720,658,87.142929,53.303
47,4,480,390,93.618373,146.975
47,4,720,615,93.766322,228.838
47,5,480,395,93.042854,107.585
47,5,720,622,93.195459,154.851
47,6,480,402,92.714081,84.561
47,6,720,638,92.819502,122.529
47,7,480,410,92.156314,66.529
47,7,720,652,92.049768,92.505
47,8,480,435,92.002504,56.553
47,8,720,693,91.740924,71.512
47,9,480,439,89.672170,47.271
47,9,720,615,87.848542,58.885
47,10,480,449,88.503148,43.067
47,10,720,614,86.150327,53.313
48,4,480,371,93.008122,139.966
48,4,720,583,93.156627,218.494
48,5,480,375,92.428156,100.031
48,5,720,589,92.570714,153.663
48,6,480,380,92.025096,80.258
48,6,720,602,92.119773,116.160
48,7,480,388,91.443279,63.894
48,7,720,614,91.307059,87.160
48,8,480,411,91.278693,56.767
48,8,720,653,90.976046,72.330
48,9,480,412,88.818723,47.718
48,9,720,575,86.833690,59.349
48,10,480,419,87.634084,41.391
48,10,720,571,85.088568,54.755
49,4,480,352,92.456718,155.178
49,4,720,553,92.606562,224.952
49,5,480,355,91.872026,95.008
49,5,720,557,92.007356,146.607
49,6,480,360,91.439116,75.355
49,6,720,569,91.559070,112.616
49,7,480,366,90.793664,59.002
49,7,720,579,90.612701,82.882
49,8,480,389,90.591422,49.741
49,8,720,617,90.266625,65.403
49,9,480,387,87.946860,41.961
49,9,720,538,85.814531,51.362
49,10,480,393,86.723979,38.892
49,10,720,532,84.050064,47.671
